State,!=,%,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,batapim,caractere,chimpanzini,delimitare,dunmadin,finitini,id,larila,lirili,porcoala,porcodio,sahur,saturnita,string,tralala,tralalero,tripi,tropa,tung,valor_inteiro,valor_real,||,$,ATRIBUICAO,BLOCO,BLOCO_DECISAO,BLOCO_REPETICAO,COMANDO,COMENTARIO,DECISAO,DECLARACAO,ENTRADA,EXPRESSAO,LACO_CONTADO,LACO_DE_REPETICAO,LISTA_DE_COMANDOS,OPERADOR,OPERADOR_ARITMETICO,OPERADOR_LOGICO,OPERADOR_RELACIONAL,PROGRAMA,SAIDA,TERMO,TIPO_DE_VARIAVEL,VALOR_BOOL
34,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,
35,s56,s52,s47,error,error,s46,s51,s67,s63,error,s61,s62,error,s55,s57,s65,error,error,error,s54,error,error,error,error,error,error,error,s64,error,error,error,error,error,error,error,error,error,s66,error,,53,50,60,,,,,,,,,,58,48,49,59,,,,,
36,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,,,,,,,,,,,,,,,,,,,,,,
37,s56,s52,s47,error,error,s46,s51,s67,s63,error,s61,s62,error,s55,s57,s65,error,error,error,s54,error,error,error,error,error,error,error,s64,error,error,error,error,error,error,error,error,error,s66,error,,68,50,60,,,,,,,,,,58,48,49,59,,,,,
38,error,error,error,error,error,error,error,error,error,s69,error,error,s24,error,error,error,error,s6,error,error,error,error,s14,error,error,error,error,error,error,s18,error,error,s17,s5,error,s1,s31,error,error,70,,,,,,,,,,,,,,,,,,,20,,21
39,error,error,error,error,error,error,error,error,error,error,error,error,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,
40,s56,s52,s47,error,error,s46,s51,s67,s63,s71,s61,s62,error,s55,s57,s65,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s66,error,,,,,,,,,,,,,,58,48,49,59,,,,,
41,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s6,error,error,error,error,s14,error,error,error,error,error,error,s18,error,error,s17,s5,error,s1,s31,error,error,,,,,,,,,,72,,,,,,,,,,34,,21
42,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s12,s32,error,error,error,s27,s29,error,error,error,error,error,error,error,,,,,,,,73,,,,,,,,,,,,,13,
43,r17,r17,r17,r17,r17,r17,r17,r17,r17,r13,r17,r17,r13,r17,r17,r17,r13,r13,r13,r17,r13,r13,r13,r17,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r17,r13,,,,,,,,,,,,,,,,,,,,,,
44,s56,s52,s47,error,error,s46,s51,s67,s63,r14,s61,s62,r14,s55,s57,s65,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,s66,r14,,,,,,,,,,,,,,58,48,49,59,,,,,
45,error,error,error,error,error,error,error,error,error,error,error,error,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,
46,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,
